iter	F1	Logloss	Logloss:use_weights=true	Logloss:use_weights=false
63	0.8280000839	0.3717631228	0.3717631228	0.3498911952
64	0.8279553573	0.3715974791	0.3715975583	0.3497343388
65	0.8281712678	0.371315141	0.3713151014	0.3494726783
66	0.8281734495	0.3713133207	0.3713133207	0.3494869714
67	0.8281712678	0.3713131624	0.3713132416	0.3494999016
68	0.8281734495	0.3712932583	0.3712932187	0.3494917972
69	0.8281591882	0.3712871644	0.3712871248	0.3494934918
70	0.8281602791	0.3712872039	0.3712871248	0.3495010435
71	0.8281636319	0.3711990005	0.3711990005	0.3494138848
72	0.8283408923	0.3708214548	0.370821534	0.3490609764
73	0.828594383	0.3705378108	0.3705377713	0.348761962
74	0.8286086326	0.3705089241	0.3705089241	0.3487312023
75	0.8286075413	0.3705083701	0.3705083701	0.3487287341
76	0.8286217296	0.3704775444	0.3704775444	0.3486884333
77	0.8286217296	0.3704769904	0.3704769904	0.348686002
78	0.8286239124	0.3704763573	0.3704763177	0.3486833128
79	0.8286250038	0.3704754867	0.3704754867	0.3486813973
80	0.8285877726	0.3704501614	0.3704502009	0.3486481694
81	0.8285845605	0.3703240094	0.3703240094	0.3485318717
82	0.8285845605	0.3703232576	0.370323218	0.3485342662
83	0.8286590168	0.3700229543	0.3700229543	0.3482685534
84	0.8286557426	0.3700228751	0.3700228751	0.3482787207
85	0.8286557426	0.3700214506	0.3700214506	0.3482858673
86	0.8286186373	0.3699790306	0.3699790306	0.3482486609
87	0.8286186373	0.3699778435	0.3699778435	0.3482535235
88	0.8287708408	0.3697047649	0.3697047253	0.3479992305
89	0.8287489611	0.369695624	0.3696956636	0.3479947731
90	0.8287697496	0.3696814972	0.3696815368	0.3479829481
91	0.828707325	0.3696060752	0.3696060752	0.3479060671
92	0.8287543075	0.3695773467	0.3695773072	0.3478753442
93	0.8287937046	0.3695753286	0.3695753682	0.3478766704
94	0.8287532162	0.3695655546	0.3695655942	0.3478681608
95	0.8287729151	0.3695655942	0.3695655942	0.3478708131
96	0.8287937046	0.3695645258	0.3695645258	0.3478721761
97	0.828794796	0.3695641301	0.3695640905	0.3478737602
98	0.8291260813	0.3690652997	0.3690652997	0.3473377668
99	0.8291184396	0.3690605908	0.3690606303	0.347351139
100	0.829114073	0.3690582561	0.3690582561	0.3473637007
101	0.8291129813	0.3690565545	0.3690565545	0.347374568
102	0.8291523582	0.3690559214	0.3690558818	0.3473844406
103	0.8294309535	0.3684563436	0.3684563436	0.3467841648
104	0.8294768746	0.368445976	0.368445976	0.3467645301
105	0.8294823355	0.3684390116	0.3684390511	0.3467544365
106	0.8294823355	0.3684388533	0.3684388137	0.3467488371
107	0.8294867043	0.3684340256	0.3684340256	0.3467377488
108	0.8294877965	0.3684341443	0.3684341048	0.3467343966
109	0.8294856121	0.3684297124	0.368429752	0.3467264396
110	0.8295085718	0.3684224709	0.3684224709	0.3467202508
111	0.8294364918	0.3682917684	0.3682918079	0.3466052793
112	0.8294122536	0.367940656	0.367940656	0.3462917139
113	0.8293499065	0.3678708135	0.3678708135	0.3462528866
114	0.8293553681	0.3678693493	0.3678693493	0.3462622067
115	0.8293531835	0.3678653131	0.3678651944	0.3462639749
116	0.8293531835	0.3678647591	0.3678647987	0.3462712688
117	0.8293531835	0.3678621079	0.3678621474	0.346274179
118	0.8293520912	0.3678615934	0.3678615539	0.3462788574
119	0.8293761513	0.367855737	0.3678556974	0.3462762419
